index,product,user_id,age,date,review,ratings,repurchase,packaging,price
0,Blush - Orgasm,Leahmoriah4,44-55,a month ago,"I'm 48, Caucasian with olive undertones so true pinks and mauves look terrible and corals are perfect which is why I LOVE this blush.  I love the shimmer on my cheek bones and temples and use...",5.0,65%,4.1,4
1,Blush - Orgasm,Avalonian1172,30-35,2 months ago,I have to mention that the case is fabulous. All my other blushes are great but the case breaks towards the end of its use. This one is strong. Still together. Why can't other brands make their...,4.0,65%,4.1,4
2,Blush - Orgasm,summerseabreeze,30-35,4 months ago,A coral-pink peach blush with a very fine gold shimmer - which on my medium-olive skin tone (MAC NC40) seems to emphasize more of the gold than it does for example on my friend who's a MAC NC15....,5.0,65%,4.1,4
3,Blush - Orgasm,miransees,30-35,5 months ago,"I'm not sure if it's a ""Universal"" color. It's probably too light for me. It does make my skin look natural though, there is something more a women wants from a blusher. Also it's so small that...",3.0,65%,4.1,4
4,Blush - Orgasm,outofherhead,56 & Over,6 months ago,"The blush that works for everyone does not work for me. I got it in the mini size. I don’t know, on me it just looks like gold glitter, very sparkly, maybe my skin tone is too dark.",2.0,65%,4.1,4
5,Blush - Orgasm,beddy,25-29,6 months ago,"i am super late on the Orgasm train but i must admit, i was alway more drawn to Deep Thoart because it doesnt have the gold shimmers. I got a generous sample card from Nars and decide why not. This...",4.0,65%,4.1,4
6,Blush - Orgasm,BigSwingingOvaries,30-35,7 months ago,"This is one of the few blushes I've ever repurchased. It's a great every day glowy blush. However, each time I've bought this, the product has been slightly different (e.g. size of shimmer...",4.0,65%,4.1,4
7,Blush - Orgasm,stecabaa,19-24,7 months ago,"Pros
-beautiful universal color
-blends nice
-lasts longer than the drugstore blushes I have

Cons
-really expensive 
-the shimmer is not that flattering especially if you have texture and dry skin",4.0,65%,4.1,4
8,Blush - Orgasm,bebeltavares,30-35,9 months ago,I love the formula and the package are better now.,5.0,65%,4.1,4
9,Blush - Orgasm,Sabel77,56 & Over,10 months ago,"This is the Holy Grail of blushers. Although it might look scarily intense  in the packaging, don't be put off; it's the most flattering shade ever, plus it's pretty much foolproof to apply. It...",5.0,65%,4.1,4
15,Blush - Orgasm,jolki,56 & Over,a year ago,"It’s my second purchase of this one: fantastic, subtle blush that can be used so flatteringly. It’s grea5 for every occasion and time of day.
Love it and it has encouraged me to try other Nars...",5.0,65%,4.1,4
16,Blush - Orgasm,cbellah,30-35,a year ago,I have a travel size version of this and while I love the color I can't stand the shimmer. I have a bit of acne and it just highlights the problem so much. I would love to find a version of this...,3.0,65%,4.1,4
17,Blush - Orgasm,hkitying,30-35,a year ago,"Have never used a blusher till it #hitpan before. I get compliments when using this because it doubles as a highlighter. Also like that it’s buildable. 

I have dry skin so this works well. I also...",5.0,65%,4.1,4
18,Blush - Orgasm,Ldircks91,25-29,a year ago,"This is the blush that got me back into blush (thanks, NARS!). I never fully fell in love with it, however. The peachy-pink shade is certainly flattering, and though I understand the complaints...",4.0,65%,4.1,4
19,Blush - Orgasm,LeslieCZ,56 & Over,a year ago,"I used this when it first came out. I liked it a lot but don't recall why I stopped using it. In any case, I just bought it again, and I LOVE it. Perfect texture and color, really soft and...",5.0,65%,4.1,4
20,Blush - Orgasm,TaniaKleber,30-35,a year ago,"I love this blush, it blends in so beautifully and it has a nice golden shimmer which I really love wearing! 😀",5.0,65%,4.1,4
21,Blush - Orgasm,gonebabygone,36-43,a year ago,"I finally caved in and bought this cult classic.  I am so glad I did.  For reference, I have NC15 skin, with blue undertones.  My partner never notices my makeup.  And I'm happy about that - as I...",5.0,65%,4.1,4
22,Blush - Orgasm,Barleysoup,25-29,a year ago,"Such a cult blush! Bought it simply for the name. Wanted to love knowing it wouldn’t give me an orgasm. Yet, the color didn’t show! Tried other NARS blushes and most worked. BA said it was because...",3.0,65%,4.1,4
23,Blush - Orgasm,katy42,56 & Over,2 years ago,"Very, very pretty on my MAC C40/Bobbi Brown Warm Natural complexion. I can see why this is so iconic; the perfectly balanced peachy-rose shade warms up my skin and enlivens my face, making me look...",4.0,65%,4.1,4
24,Blush - Orgasm,ChristinaVit,30-35,2 years ago,Love the texture and the shade is a really sweet shimmery pink. I have light brown hair and light-coloured skin so I think this shade is perfect for me when I am not tanned. Now that I am starting...,4.0,65%,4.1,4
30,Blush - Orgasm,mixen,25-29,2 years ago,Best colour!,5.0,65%,4.1,4
31,Blush - Orgasm,Fragrancegirl38,44-55,2 years ago,"I decided to try to this after seeing it on a sales associate at Nordstrom with similar coloring. I looked at it years ago, but dismissed it as too orange with too much shimmer. After applying in...",2.0,65%,4.1,4
32,Blush - Orgasm,Maria06,56 & Over,2 years ago,"You have to love some of these products and want them because of the name.  Who doesn't want a blush called Orgasm or one called Sex On Fire?  (Charlotte Tillbury).  Unfortunately, I have too much...",3.0,65%,4.1,4
33,Blush - Orgasm,Abelaine,36-43,2 years ago,I love it,5.0,65%,4.1,4
